11-18-2020,Brooklyn,New York,36047,461,461
11-18-2020,Manhattan,New York,36061,333,333
11-18-2020,Queens,New York,36081,442,442
11-18-2020,Staten Island,New York,36085,198,198
08-17-2020,Bronx,New York,36005,71,71
08-17-2020,Brooklyn,New York,36047,96,96
08-17-2020,Manhattan,New York,36061,57,57
08-17-2020,Queens,New York,36081,93,93
08-17-2020,Staten Island,New York,36085,14,14
03-08-2020,Bronx,New York,36005,3,3
03-08-2020,Brooklyn,New York,36047,5,5
03-08-2020,Manhattan,New York,36061,6,6
03-08-2020,Queens,New York,36081,6,6
03-08-2020,Staten Island,New York,36085,1,1
09-16-2020,Bronx,New York,36005,49,49
09-16-2020,Brooklyn,New York,36047,164,164
09-16-2020,Manhattan,New York,36061,55,55
09-16-2020,Queens,New York,36081,82,82
09-16-2020,Staten Island,New York,36085,17,17
07-24-2020,Bronx,New York,36005,73,73
07-24-2020,Brooklyn,New York,36047,68,68
07-24-2020,Manhattan,New York,36061,56,56
07-24-2020,Queens,New York,36081,75,75
07-24-2020,Staten Island,New York,36085,28,28
07-08-2020,Bronx,New York,36005,83,83
07-08-2020,Brooklyn,New York,36047,121,121
07-08-2020,Manhattan,New York,36061,120,120
07-08-2020,Queens,New York,36081,88,88
07-08-2020,Staten Island,New York,36085,25,25
11-17-2020,Bronx,New York,36005,335,335
11-17-2020,Brooklyn,New York,36047,492,492
11-17-2020,Manhattan,New York,36061,285,285
11-17-2020,Queens,New York,36081,423,423
11-17-2020,Staten Island,New York,36085,191,191
12-20-2020,Bronx,New York,36005,291,291
12-20-2020,Brooklyn,New York,36047,767,767
12-20-2020,Manhattan,New York,36061,294,294
12-20-2020,Queens,New York,36081,698,698
12-20-2020,Staten Island,New York,36085,294,294
11-15-2020,Bronx,New York,36005,134,134
11-15-2020,Brooklyn,New York,36047,231,231
11-15-2020,Manhattan,New York,36061,133,133
11-15-2020,Queens,New York,36081,243,243
11-15-2020,Staten Island,New York,36085,153,153
06-21-2020,Bronx,New York,36005,25,25
06-21-2020,Brooklyn,New York,36047,54,54
06-21-2020,Manhattan,New York,36061,26,26
06-21-2020,Queens,New York,36081,58,58
06-21-2020,Staten Island,New York,36085,9,9
03-16-2020,Bronx,New York,36005,305,305
03-16-2020,Brooklyn,New York,36047,740,740
03-16-2020,Manhattan,New York,36061,457,457
03-16-2020,Queens,New York,36081,528,528
03-16-2020,Staten Island,New York,36085,91,91
08-19-2020,Bronx,New York,36005,50,50
08-19-2020,Brooklyn,New York,36047,70,70
08-19-2020,Manhattan,New York,36061,51,51
08-19-2020,Queens,New York,36081,69,69
08-19-2020,Staten Island,New York,36085,18,18
03-21-2020,Bronx,New York,36005,490,490
03-21-2020,Brooklyn,New York,36047,554,554
03-21-2020,Manhattan,New York,36061,398,398
03-21-2020,Queens,New York,36081,947,947
03-21-2020,Staten Island,New York,36085,248,248
11-01-2020,Bronx,New York,36005,56,56
11-01-2020,Brooklyn,New York,36047,230,230
11-01-2020,Manhattan,New York,36061,66,66
11-01-2020,Queens,New York,36081,100,100
11-01-2020,Staten Island,New York,36085,44,44
09-25-2020,Bronx,New York,36005,48,48
09-25-2020,Brooklyn,New York,36047,186,186
09-25-2020,Manhattan,New York,36061,68,68
09-25-2020,Queens,New York,36081,124,124
09-25-2020,Staten Island,New York,36085,28,28
05-23-2020,Bronx,New York,36005,90,90
05-23-2020,Brooklyn,New York,36047,143,143
05-23-2020,Manhattan,New York,36061,49,49
05-23-2020,Queens,New York,36081,137,137
05-23-2020,Staten Island,New York,36085,37,37
06-03-2020,Bronx,New York,36005,113,113
06-03-2020,Brooklyn,New York,36047,133,133
06-03-2020,Manhattan,New York,36061,75,75
06-03-2020,Queens,New York,36081,148,148
06-03-2020,Staten Island,New York,36085,45,45
07-01-2020,Bronx,New York,36005,62,62
07-01-2020,Brooklyn,New York,36047,120,120
07-01-2020,Manhattan,New York,36061,83,83
07-01-2020,Queens,New York,36081,93,93
07-01-2020,Staten Island,New York,36085,39,39
06-09-2020,Bronx,New York,36005,84,84
06-09-2020,Brooklyn,New York,36047,121,121
06-09-2020,Manhattan,New York,36061,67,67
06-09-2020,Queens,New York,36081,130,130
06-09-2020,Staten Island,New York,36085,19,19
07-16-2020,Bronx,New York,36005,95,95
07-16-2020,Brooklyn,New York,36047,90,90
07-16-2020,Manhattan,New York,36061,88,88
07-16-2020,Queens,New York,36081,109,109
07-16-2020,Staten Island,New York,36085,35,35
03-06-2020,Bronx,New York,36005,2,2
03-06-2020,Brooklyn,New York,36047,1,1
03-06-2020,Manhattan,New York,36061,3,3
03-06-2020,Queens,New York,36081,1,1
03-06-2020,Staten Island,New York,36085,1,1
11-03-2020,Bronx,New York,36005,153,153
11-03-2020,Brooklyn,New York,36047,318,318
11-03-2020,Manhattan,New York,36061,155,155
11-03-2020,Queens,New York,36081,179,179
11-03-2020,Staten Island,New York,36085,92,92
05-20-2020,Bronx,New York,36005,278,278
05-20-2020,Brooklyn,New York,36047,323,323
05-20-2020,Manhattan,New York,36061,165,165
05-20-2020,Queens,New York,36081,254,254
05-20-2020,Staten Island,New York,36085,56,56
06-15-2020,Bronx,New York,36005,80,80
06-15-2020,Brooklyn,New York,36047,102,102
06-15-2020,Manhattan,New York,36061,59,59
06-15-2020,Queens,New York,36081,122,122
06-15-2020,Staten Island,New York,36085,18,18
12-05-2020,Bronx,New York,36005,324,324
12-05-2020,Brooklyn,New York,36047,504,504
12-05-2020,Manhattan,New York,36061,204,204
12-05-2020,Queens,New York,36081,594,594
12-05-2020,Staten Island,New York,36085,246,246
06-26-2020,Bronx,New York,36005,66,66
06-26-2020,Brooklyn,New York,36047,94,94
06-26-2020,Manhattan,New York,36061,63,63
06-26-2020,Queens,New York,36081,76,76
06-26-2020,Staten Island,New York,36085,16,16
08-25-2020,Bronx,New York,36005,64,64
08-25-2020,Brooklyn,New York,36047,84,84
08-25-2020,Manhattan,New York,36061,54,54
08-25-2020,Queens,New York,36081,69,69
08-25-2020,Staten Island,New York,36085,12,12
12-07-2020,Bronx,New York,36005,554,554
12-07-2020,Brooklyn,New York,36047,959,959
